iter	MultiClass
0	1.684349715
1	1.593367675
2	1.522424301
3	1.456597364
4	1.40409794
5	1.360616159
6	1.319873367
7	1.278768296
8	1.245389129
9	1.214012415
10	1.186187282
11	1.162147894
12	1.13867671
13	1.116354936
14	1.098277067
15	1.080244775
16	1.065441602
17	1.049409262
18	1.035402191
19	1.021952417
20	1.011588235
21	0.9987574953
22	0.9853821685
23	0.9754960238
24	0.9665523296
25	0.9583703434
26	0.9506038902
27	0.9411559597
28	0.9334510843
29	0.9259837127
30	0.9188417069
31	0.9118956328
32	0.9052596168
33	0.8988588569
34	0.8924632796
35	0.8864134774
36	0.8799568386
37	0.8736639305
38	0.8676823142
39	0.8638652845
40	0.8588501212
41	0.8537019891
42	0.8498743513
43	0.8449462483
44	0.8415178407
45	0.8378354122
46	0.833411229
47	0.8304178372
48	0.8264952462
49	0.8229883691
50	0.8204882746
51	0.8178430567
52	0.8147718798
53	0.8113866051
54	0.8073696936
55	0.805086908
56	0.8012395808
57	0.7974947095
58	0.7956545368
59	0.7913246352
60	0.7882960278
61	0.7854595617
62	0.7822622147
63	0.7799727737
64	0.7770493484
65	0.7752217642
66	0.7728595747
67	0.7710234715
68	0.7672260959
69	0.7641834501
70	0.7614810083
71	0.7594142535
72	0.7564138863
73	0.755288053
74	0.751723085
75	0.7500822914
76	0.7476952626
77	0.7455328911
78	0.7429017135
79	0.7402310708
80	0.7379774398
81	0.7355398652
82	0.7324654757
83	0.73119907
84	0.7283508434
85	0.7266987518
86	0.7237448429
87	0.7222573797
88	0.7207599736
89	0.7181368832
90	0.7155960104
91	0.7138931878
92	0.712797306
93	0.7113241845
94	0.709364736
95	0.7073394235
96	0.7046748228
97	0.7027924723
98	0.7008197933
99	0.6988968578
100	0.6973853968
101	0.6956562205
102	0.693996608
103	0.6914481625
104	0.6893858096
105	0.6866602933
106	0.685081524
107	0.6836183366
108	0.6835272044
109	0.6818988743
110	0.6807227027
111	0.6803620508
112	0.677819653
113	0.6755992012
114	0.6743139734
115	0.6711345935
116	0.6689956595
117	0.6664826892
118	0.6639572721
119	0.6632088581
120	0.6616670884
121	0.6603168398
122	0.6585799146
123	0.6573482629
124	0.6557372056
125	0.6544866942
126	0.6535728448
127	0.650669133
128	0.6478322836
129	0.6455349613
130	0.6435121775
131	0.6409570438
132	0.6395306958
133	0.6377701732
134	0.6356297934
135	0.634804237
136	0.6326216984
137	0.6303272886
138	0.6286833312
139	0.6268168666
140	0.62567433
141	0.6234822313
142	0.6223483917
143	0.6212149001
144	0.619460859
145	0.6180298313
146	0.6161473039
147	0.6147814439
148	0.6116131855
149	0.610265186
150	0.6086627743
151	0.6070431178
152	0.6051064027
153	0.6019600248
154	0.5998453713
155	0.5985517412
156	0.5968659534
157	0.5953001421
158	0.5930307008
159	0.5916418629
160	0.5905610901
161	0.5890665212
162	0.5857264899
163	0.5842629812
164	0.5834301587
165	0.5823870156
166	0.5803300572
167	0.5787786251
168	0.5769316311
169	0.5748846796
170	0.57273838
171	0.5712131385
172	0.5695480643
173	0.567942679
174	0.5663385855
175	0.5644950992
176	0.5617825847
177	0.5598987091
178	0.5582793064
179	0.5569400968
180	0.5555836954
181	0.5540149256
182	0.5522497529
183	0.5506245006
184	0.5492706911
185	0.5481188908
186	0.5457678541
187	0.5438029284
188	0.5430515009
189	0.5411346965
190	0.5396338404
191	0.5386658655
192	0.5372573717
193	0.5358969852
194	0.5347367879
195	0.5329941336
196	0.5316883118
197	0.5304890985
198	0.5288429761
199	0.5274229684
200	0.5263990524
201	0.5255304311
202	0.5241151976
203	0.5236514003
204	0.5226380449
205	0.5214525389
206	0.5191907135
207	0.5174302448
208	0.5167996295
209	0.5158138557
210	0.514900836
211	0.5139448148
212	0.5114048439
213	0.5092115416
214	0.5081556065
215	0.5064864235
216	0.5055109702
217	0.5042429523
218	0.5024548559
219	0.500879963
220	0.5001464292
221	0.4990081125
222	0.4980219712
223	0.4967563335
224	0.4954932472
225	0.4943079813
226	0.4932471995
227	0.4923233801
228	0.4913030009
229	0.4906913295
230	0.4889687423
231	0.48814551
232	0.4869358762
233	0.4864357963
234	0.48486758
235	0.4837112095
236	0.4825211623
237	0.4818915497
238	0.4810772087
239	0.4790110245
240	0.4770372542
241	0.4761672066
242	0.4750355499
243	0.4732024575
244	0.472148097
245	0.4712972548
246	0.4695234927
247	0.4679073029
248	0.466636375
249	0.4655409546
250	0.4647872256
251	0.4636214588
252	0.4625222512
253	0.4610016688
254	0.4607349485
255	0.4603271196
256	0.4594319666
257	0.4580708711
258	0.4569764461
259	0.455854232
260	0.4549455923
261	0.4536118799
262	0.4523183072
263	0.4511184722
264	0.4495547831
265	0.4481185571
266	0.4475884797
267	0.4463629269
268	0.4450649107
269	0.4439482989
270	0.4431270345
271	0.4420375603
272	0.4412403605
273	0.4405429454
274	0.4389656129
275	0.4383190845
276	0.4371041432
277	0.4360701091
278	0.4352807699
279	0.4341124431
280	0.4333649233
281	0.432403359
282	0.4313786507
283	0.4306039741
284	0.4295117575
285	0.4282286758
286	0.4272989626
287	0.4264259794
288	0.4258345951
289	0.4240996635
290	0.4227251075
291	0.4218634403
292	0.4207669753
293	0.4196965173
294	0.4183838322
295	0.4176640261
296	0.4162905904
297	0.4153863015
298	0.4140002057
299	0.4124360562
300	0.4113708068
301	0.4104678485
302	0.4095692176
303	0.4083252902
304	0.4076217646
305	0.4068984012
306	0.4064476714
307	0.404775821
308	0.4040343891
309	0.4023694794
310	0.4014456769
311	0.4007947338
312	0.4003654838
313	0.3997402412
314	0.3986197198
315	0.3976122314
316	0.3967204532
317	0.3962459904
318	0.3946293514
319	0.394232796
320	0.3929836638
321	0.391651361
322	0.3908099777
323	0.3901216866
324	0.3892850811
325	0.3883450262
326	0.3875799639
327	0.3860328956
328	0.3850230914
329	0.3837480044
330	0.3833447033
331	0.3818919306
332	0.3805805607
333	0.3801117089
334	0.3790198468
335	0.3787340429
336	0.3775939653
337	0.3763333072
338	0.3747570712
339	0.3741024589
340	0.3732553181
341	0.372677831
342	0.3717345775
343	0.3708538044
344	0.3698817516
345	0.3693725797
346	0.3688197062
347	0.3677630616
348	0.3671640612
349	0.366204943
350	0.3652939069
351	0.3643475229
352	0.3638731416
353	0.3631646275
354	0.3622290415
355	0.3608553595
356	0.3594671514
357	0.3588598351
358	0.3579959238
359	0.3573961938
360	0.3566005728
361	0.3558375311
362	0.3547428611
363	0.3541770937
364	0.3536624652
365	0.3533686304
366	0.3526751592
367	0.3518954265
368	0.3511849034
369	0.3499511146
370	0.3491570327
371	0.3483173509
372	0.3474945037
373	0.3465882402
374	0.3456813584
375	0.344948531
376	0.3442258434
377	0.3433177661
378	0.3424570026
379	0.3416490459
380	0.3404905617
381	0.3398947893
382	0.3389373374
383	0.3376246507
384	0.3369828328
385	0.3362867656
386	0.3354341579
387	0.33496763
388	0.3342773853
389	0.3335894116
390	0.3328577134
391	0.3317552417
392	0.331268927
393	0.3306372043
394	0.3298271057
395	0.3288759959
396	0.3284974863
397	0.3279238043
398	0.3274230067
399	0.3268081404
400	0.3261254368
401	0.3253787654
402	0.324549432
403	0.3239306343
404	0.3230479953
405	0.3222842621
406	0.321360212
407	0.3204214143
408	0.3201081814
409	0.3195883522
410	0.3189503814
411	0.317932873
412	0.3170527026
413	0.3167552689
414	0.3160891888
415	0.3150574899
416	0.3142795265
417	0.3135432842
418	0.313268773
419	0.3128188263
420	0.3123897411
421	0.311518276
422	0.3109613373
423	0.3100737118
424	0.3095916672
425	0.3085821443
426	0.3075360696
427	0.3070272767
428	0.3066323194
429	0.3061193726
430	0.305668482
431	0.3047517934
432	0.3041687849
433	0.3035888946
434	0.3030862858
435	0.3023689772
436	0.3019710014
437	0.301433444
438	0.3004893737
439	0.2998411821
440	0.2991279487
441	0.2987946166
442	0.2976042756
443	0.2973692688
444	0.2967373473
445	0.2958797236
446	0.2954945965
447	0.2950604546
448	0.2944485552
449	0.2937986165
450	0.2933634241
