iter	Passed	Remaining
0	79	79709
1	83	41816
2	112	37351
3	139	34817
4	162	32416
5	202	33491
6	240	34065
7	261	32487
8	294	32477
9	329	32667
10	341	30725
11	407	33575
12	455	34571
13	489	34474
14	545	35848
15	578	35595
16	609	35262
17	636	34732
18	659	34061
19	689	33781
20	726	33847
21	821	36498
22	895	38020
23	956	38916
24	993	38729
25	1027	38480
26	1069	38556
27	1117	38780
28	1172	39255
29	1206	39014
30	1295	40480
31	1336	40415
32	1385	40595
33	1447	41138
34	1532	42255
35	1586	42474
36	1619	42162
37	1650	41790
38	1685	41524
39	1712	41093
40	1753	41025
41	1790	40847
42	1851	41206
43	1895	41178
44	1951	41408
45	2007	41631
46	2081	42206
47	2106	41779
48	2148	41707
49	2180	41430
50	2211	41158
51	2254	41104
52	2285	40835
53	2328	40791
54	2351	40397
55	2381	40142
56	2420	40051
57	2438	39596
58	2468	39372
59	2500	39178
60	2532	38987
61	2569	38873
62	2600	38683
63	2624	38387
64	2661	38281
65	2725	38570
66	2788	38830
67	2838	38897
68	2879	38853
69	2923	38835
70	2969	38850
71	3036	39132
72	3069	38980
73	3110	38925
74	3148	38827
75	3186	38737
76	3227	38690
77	3243	38341
78	3265	38071
79	3289	37823
80	3335	37846
81	3369	37724
82	3419	37774
83	3448	37607
84	3482	37485
85	3516	37377
86	3550	37256
87	3595	37258
88	3619	37052
89	3647	36876
90	3673	36697
91	3749	37001
92	3858	37631
93	3950	38076
94	4072	38797
95	4147	39054
96	4191	39017
97	4221	38852
98	4261	38785
99	4298	38689
100	4343	38661
101	4407	38799
102	4498	39178
103	4547	39179
104	4589	39116
105	4609	38879
106	4635	38683
107	4662	38509
108	4671	38185
109	4700	38032
110	4720	37806
111	4745	37626
112	4786	37572
113	4834	37570
114	4852	37341
115	4873	37139
116	4936	37253
117	4970	37150
118	4980	36870
119	5020	36817
120	5051	36699
121	5075	36527
122	5094	36327
123	5115	36140
124	5147	36029
125	5176	35904
126	5215	35851
127	5231	35637
128	5253	35473
129	5274	35301
130	5297	35142
131	5316	34959
132	5335	34779
133	5352	34594
134	5375	34441
135	5391	34253
136	5410	34082
137	5421	33867
138	5432	33651
139	5452	33493
140	5472	33339
141	5505	33263
142	5540	33202
143	5565	33081
144	5590	32964
145	5626	32911
146	5650	32786
147	5676	32678
148	5690	32502
149	5705	32331
150	5741	32284
151	5783	32266
152	5824	32244
153	5853	32153
154	5873	32018
155	5895	31898
156	5908	31724
157	5923	31567
158	5939	31414
159	5960	31292
160	5982	31174
161	6005	31063
162	6033	30983
163	6048	30832
164	6070	30719
165	6083	30564
166	6136	30606
167	6166	30539
168	6174	30361
169	6187	30210
170	6209	30104
171	6231	29998
172	6241	29838
173	6255	29693
174	6268	29553
175	6284	29423
176	6298	29285
177	6313	29154
178	6332	29042
179	6371	29026
180	6406	28988
181	6434	28921
182	6460	28842
183	6482	28746
184	6510	28682
185	6539	28618
186	6565	28543
187	6577	28410
188	6596	28305
189	6634	28283
190	6683	28307
191	6721	28285
192	6753	28240
193	6776	28153
194	6800	28075
195	6814	27953
196	6832	27849
197	6855	27769
198	6879	27692
199	6902	27609
200	6937	27578
201	6970	27537
202	6992	27452
203	7016	27377
204	7042	27310
205	7061	27217
206	7088	27156
207	7114	27087
208	7144	27039
209	7171	26978
210	7187	26877
211	7210	26800
212	7236	26736
213	7277	26730
214	7293	26631
215	7314	26550
216	7329	26448
217	7361	26407
218	7384	26334
219	7430	26342
220	7484	26382
221	7538	26418
222	7572	26385
223	7626	26420
224	7664	26399
225	7690	26337
226	7747	26381
227	7789	26374
228	7812	26302
229	7847	26271
230	7869	26197
231	7898	26147
232	7939	26136
233	7966	26078
234	7987	26002
235	8015	25948
236	8025	25837
237	8049	25773
238	8065	25682
239	8108	25678
240	8127	25595
241	8149	25526
242	8180	25485
243	8225	25485
244	8251	25428
245	8270	25348
246	8297	25294
247	8317	25221
248	8334	25137
249	8350	25052
250	8393	25045
251	8421	24996
252	8439	24916
253	8478	24901
254	8516	24881
255	8582	24943
256	8611	24897
257	8619	24788
258	8659	24774
259	8740	24875
260	8759	24802
261	8809	24813
262	8839	24770
263	8879	24754
264	8904	24697
265	8935	24656
266	8964	24610
267	8987	24548
268	9014	24496
269	9036	24432
270	9084	24437
271	9125	24423
272	9160	24394
273	9206	24393
274	9243	24369
275	9273	24326
276	9304	24286
277	9334	24243
278	9373	24222
279	9404	24183
280	9447	24174
281	9473	24120
282	9506	24085
283	9544	24061
284	9569	24006
285	9607	23985
286	9627	23918
287	9693	23965
288	9742	23968
289	9784	23954
290	9825	23938
291	9880	23957
292	9911	23915
293	9962	23924
294	10018	23941
295	10093	24007
296	10138	23997
297	10156	23926
298	10181	23870
299	10205	23812
300	10228	23753
301	10255	23703
302	10285	23661
303	10303	23589
304	10322	23521
305	10353	23482
306	10367	23402
307	10394	23352
308	10413	23286
309	10448	23256
310	10490	23241
311	10520	23200
312	10545	23146
313	10564	23080
314	10589	23028
315	10610	22967
316	10626	22895
317	10654	22850
318	10689	22820
319	10718	22777
320	10737	22712
321	10764	22665
322	10810	22658
323	10840	22616
324	10884	22606
325	10924	22585
326	10960	22558
327	10993	22522
328	11008	22451
329	11066	22467
330	11083	22401
331	11102	22339
332	11114	22262
333	11136	22205
334	11190	22214
335	11211	22155
336	11245	22123
337	11271	22075
338	11299	22032
339	11331	21996
340	11355	21945
341	11373	21882
342	11405	21847
343	11422	21782
344	11444	21728
345	11476	21693
346	11517	21674
347	11566	21669
348	11591	21622
349	11617	21575
350	11642	21526
351	11661	21468
352	11681	21409
353	11696	21344
354	11710	21277
355	11725	21211
356	11741	21148
357	11755	21081
358	11777	21028
359	11826	21025
360	11852	20980
361	11873	20925
362	11896	20876
363	11914	20818
364	11930	20756
365	11949	20699
366	11963	20634
367	11979	20573
368	11994	20511
369	12018	20463
370	12029	20395
371	12055	20351
372	12078	20303
373	12105	20262
374	12121	20201
375	12158	20177
376	12196	20154
377	12229	20122
378	12247	20067
379	12300	20069
380	12336	20043
381	12392	20048
382	12438	20038
383	12478	20017
384	12503	19973
385	12548	19961
386	12582	19929
387	12612	19894
388	12631	19840
389	12672	19820
390	12692	19769
391	12729	19744
392	12767	19719
393	12801	19689
394	12824	19642
395	12844	19591
396	12866	19542
397	12882	19485
398	12895	19424
399	12924	19386
400	12940	19330
401	12960	19279
402	12975	19222
403	12998	19176
404	13015	19121
405	13038	19075
406	13055	19021
407	13065	18957
408	13089	18914
409	13151	18924
410	13251	18990
411	13340	19039
412	13383	19021
413	13425	19003
414	13471	18989
415	13497	18948
416	13551	18945
417	13590	18923
418	13645	18921
419	13684	18897
420	13738	18894
421	13759	18845
422	13807	18833
423	13822	18777
424	13845	18732
425	13870	18689
426	13891	18641
427	13906	18585
428	13920	18528
429	13942	18481
430	13961	18431
431	14002	18411
432	14031	18373
433	14054	18328
434	14081	18289
435	14113	18256
436	14153	18234
437	14178	18192
438	14206	18154
439	14248	18135
440	14271	18089
441	14295	18047
442	14321	18007
443	14355	17977
444	14371	17924
445	14405	17893
446	14427	17848
447	14456	17812
448	14501	17796
449	14525	17753
450	14566	17732
451	14605	17708
452	14628	17664
453	14667	17639
454	14688	17593
455	14741	17586
456	14786	17568
457	14807	17523
458	14834	17484
459	14864	17449
460	14883	17401
461	14899	17350
462	14914	17298
463	14928	17244
464	14940	17189
465	14955	17137
466	14970	17086
467	15007	17059
468	15044	17033
469	15077	17002
470	15099	16958
471	15135	16931
472	15160	16891
473	15185	16850
474	15216	16818
475	15251	16789
476	15277	16751
477	15316	16726
478	15351	16698
479	15382	16664
480	15410	16628
481	15437	16590
482	15454	16542
483	15472	16495
484	15495	16453
485	15506	16399
486	15547	16377
487	15586	16353
488	15611	16313
489	15640	16279
490	15659	16233
491	15678	16188
492	15706	16152
493	15724	16106
494	15775	16093
495	15807	16062
496	15825	16016
497	15838	15965
498	15859	15922
499	15885	15885
